Time (ms),Potentiometer 0 (mm),Potentiometer 1 (mm),Acceleration X (m/s^2),Acceleration Y (m/s^2),Acceleration Z (m/s^2)
57.451,14164,14117,2.612074011230469,0.6847416748046875,13.627795849609374
57.51,14412,14268,-8.530540515136718,-3.902548706054687,16.795324645996093
57.517,16048,14175,-8.84178673095703,-1.2928688964843749,19.61270144958496
57.525,17427,14264,-6.030993981933594,7.747636572265624,19.61270144958496
57.533,18409,14198,-6.679822631835937,-2.4349030883789062,19.517531933593748
57.541,18426,14143,-7.165845568847656,1.1635820068359375,9.052476477050782
57.549,17940,14006,-8.398859423828124,4.716577270507813,5.865794067382812
57.557,6922,12471,9.119514123535156,1.3335703247070312,4.5968671875
57.615,6284,12330,8.566453540039062,-1.0678139404296874,6.6702458251953125
57.623,6108,12218,0.2537853759765625,-7.307103466796875,16.575058093261717
57.631,7786,12164,4.199429711914062,-2.2840683837890623,19.61270144958496
57.639,11599,12096,-4.953603234863281,-4.299986181640625,19.61270144958496
57.646,16176,12048,-19.6133,-15.703568688964843,19.61270144958496
57.654,20276,9689,-10.77630167236328,11.286266625976562,1.7310078002929687
57.713,19677,9282,-3.4907460205078125,4.134786267089844,5.537788439941406
57.721,18689,9007,-5.849034655761718,18.325219506835936,7.750030773925781
57.728,17227,9053,-10.481814868164061,11.645396875,1.1372457885742187
57.736,15243,9237,-11.585541833496093,-2.5737667846679684,-8.2743609375
57.744,12593,9700,-12.854468713378905,-7.881711865234375,-19.6133
57.752,19644,7640,-6.9719152343749995,-19.6133,9.062053283691405
57.81,19053,7219,-9.299079248046874,-11.77947216796875,12.89038173828125
57.818,17266,7198,-11.027692846679686,-0.9888052856445312,3.902548706054687
57.826,15828,6828,-5.499481213378906,-4.062960217285156,-3.402160559082031
57.834,13782,6894,-4.833893151855468,-1.3718775512695311,2.1619640991210938
57.842,13645,6546,-2.4253262817382812,-0.9313444458007812,0.9409212524414062
57.849,13607,6599,2.446874096679687,2.8514941772460936,3.763685009765625
57.857,8363,7123,-19.6133,4.572925170898437,-5.425260961914062
57.916,7934,7370,-19.596540588378904,-17.008408593749998,-19.6133
57.924,7229,7699,-4.053383410644531,-8.626308581542968,-13.960589880371092
57.931,7015,7590,13.259088793945311,-8.722076647949219,-14.178462231445312
57.939,6448,7430,8.980650427246093,4.199429711914062,-9.133879333496093
57.947,6090,7109,2.5354595581054684,-8.88009395751953,-1.6472107421875
57.955,11424,9493,-19.6133,-19.6133,19.61270144958496
58.014,14932,9634,-17.8894748046875,-14.106636181640624,8.686163623046875
58.021,18092,9631,-13.620613244628906,19.61270144958496,15.62874988708496
